England and Wales Code,England and Wales,Country of birth (extended) (190 categories) Code,Country of birth (extended) (190 categories),Passports held (52 categories) Code,Passports held (52 categories),Observation
K04000001,England and Wales,4,Europe: United Kingdom: Wales,47,Antarctica and Oceania: Australasia: Australia,28
K04000001,England and Wales,4,Europe: United Kingdom: Wales,48,Antarctica and Oceania: Australasia: New Zealand,31
K04000001,England and Wales,4,Europe: United Kingdom: Wales,49,Antarctica and Oceania: Other Antarctica and Oceania,3
K04000001,England and Wales,4,Europe: United Kingdom: Wales,50,British Overseas Territories,2
K04000001,England and Wales,4,Europe: United Kingdom: Wales,51,No passport held,511218
K04000001,England and Wales,5,Europe: United Kingdom: Great Britain not otherwise specified,-8,Does not apply,0
K04000001,England and Wales,5,Europe: United Kingdom: Great Britain not otherwise specified,1,Europe: United Kingdom,443
K04000001,England and Wales,5,Europe: United Kingdom: Great Britain not otherwise specified,2,Europe: Ireland,0
K04000001,England and Wales,5,Europe: United Kingdom: Great Britain not otherwise specified,3,Europe: Other Europe: EU Member countries: France,1
K04000001,England and Wales,5,Europe: United Kingdom: Great Britain not otherwise specified,4,Europe: Other Europe: EU Member countries: Germany,1
